"Zip
Code","Place
Name",State,County,Lat,Long,
96737,Ocean View,HI,Hawaii,19.1002,-155.7258,
97134,Oceanside,OR,Tillamook,45.4549,-123.965,
63701,Cape Girardeau,MO,Cape Girardeau,37.3169,-89.5459,
88250,Hope,NM,Eddy,32.8156,-104.7299,
64444,Edgerton,MO,Platte,39.4742,-94.6352,
15450,La Belle,PA,Fayette,39.9983,-79.9754,
94278,Sacramento,CA,Sacramento,38.5816,-121.4944,
97875,Stanfield,OR,Umatilla,45.786,-119.2116,
